,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
1000,2017,26.1470121161,NE.EXP.GNFS.ZS,URY,Uruguay,Latin America & Caribbean ,High income,IBRD
1001,2018,26.3964363014,NE.EXP.GNFS.ZS,URY,Uruguay,Latin America & Caribbean ,High income,IBRD
1002,2019,27.7501903057,NE.EXP.GNFS.ZS,URY,Uruguay,Latin America & Caribbean ,High income,IBRD
1003,2020,25.084282502,NE.EXP.GNFS.ZS,URY,Uruguay,Latin America & Caribbean ,High income,IBRD
1004,2021,31.4821005592,NE.EXP.GNFS.ZS,URY,Uruguay,Latin America & Caribbean ,High income,IBRD
1005,2016,12.3330657085,NE.EXP.GNFS.ZS,UZB,Uzbekistan,Europe & Central Asia,Lower middle income,Blend
1006,2017,20.7480654925,NE.EXP.GNFS.ZS,UZB,Uzbekistan,Europe & Central Asia,Lower middle income,Blend
1007,2018,26.9618975737,NE.EXP.GNFS.ZS,UZB,Uzbekistan,Europe & Central Asia,Lower middle income,Blend
1008,2019,28.4213918593,NE.EXP.GNFS.ZS,UZB,Uzbekistan,Europe & Central Asia,Lower middle income,Blend
1009,2020,24.2880630918,NE.EXP.GNFS.ZS,UZB,Uzbekistan,Europe & Central Asia,Lower middle income,Blend
1010,2021,23.7391550141,NE.EXP.GNFS.ZS,UZB,Uzbekistan,Europe & Central Asia,Lower middle income,Blend
1011,2016,48.8660913502,NE.EXP.GNFS.ZS,VUT,Vanuatu,East Asia & Pacific,Lower middle income,IDA
1012,2017,47.6598973538,NE.EXP.GNFS.ZS,VUT,Vanuatu,East Asia & Pacific,Lower middle income,IDA
1013,2018,59.7933949907,NE.EXP.GNFS.ZS,VUT,Vanuatu,East Asia & Pacific,Lower middle income,IDA
1014,2019,50.345276873,NE.EXP.GNFS.ZS,VUT,Vanuatu,East Asia & Pacific,Lower middle income,IDA
1015,2020,17.4852139627,NE.EXP.GNFS.ZS,VUT,Vanuatu,East Asia & Pacific,Lower middle income,IDA
1016,2016,47.0247498684,NE.EXP.GNFS.ZS,VIR,Virgin Islands (U.S.),Latin America & Caribbean ,High income,Not classified
1017,2017,63.3368476542,NE.EXP.GNFS.ZS,VIR,Virgin Islands (U.S.),Latin America & Caribbean ,High income,Not classified
1018,2018,53.1361550229,NE.EXP.GNFS.ZS,VIR,Virgin Islands (U.S.),Latin America & Caribbean ,High income,Not classified
1019,2019,55.0157881953,NE.EXP.GNFS.ZS,VIR,Virgin Islands (U.S.),Latin America & Caribbean ,High income,Not classified
1020,2020,38.5585156993,NE.EXP.GNFS.ZS,VIR,Virgin Islands (U.S.),Latin America & Caribbean ,High income,Not classified
1021,2016,14.3267945006,NE.EXP.GNFS.ZS,PSE,West Bank and Gaza,Middle East & North Africa,Lower middle income,Not classified
1022,2017,15.7242063492,NE.EXP.GNFS.ZS,PSE,West Bank and Gaza,Middle East & North Africa,Lower middle income,Not classified
1023,2018,15.9615644545,NE.EXP.GNFS.ZS,PSE,West Bank and Gaza,Middle East & North Africa,Lower middle income,Not classified
1024,2019,15.5210552427,NE.EXP.GNFS.ZS,PSE,West Bank and Gaza,Middle East & North Africa,Lower middle income,Not classified
1025,2020,15.3576234411,NE.EXP.GNFS.ZS,PSE,West Bank and Gaza,Middle East & North Africa,Lower middle income,Not classified
1026,2021,17.6317306839,NE.EXP.GNFS.ZS,PSE,West Bank and Gaza,Middle East & North Africa,Lower middle income,Not classified
1027,2016,3.3425519649,NE.EXP.GNFS.ZS,YEM,"Yemen, Rep.",Middle East & North Africa,Low income,IDA
1028,2017,3.7496580172,NE.EXP.GNFS.ZS,YEM,"Yemen, Rep.",Middle East & North Africa,Low income,IDA
1029,2018,6.0565701018,NE.EXP.GNFS.ZS,YEM,"Yemen, Rep.",Middle East & North Africa,Low income,IDA
1030,2019,7.1353953775,NE.EXP.GNFS.ZS,YEM,"Yemen, Rep.",Middle East & North Africa,Low income,IDA
1031,2020,6.2624234574,NE.EXP.GNFS.ZS,YEM,"Yemen, Rep.",Middle East & North Africa,Low income,IDA
1032,2016,35.324675749,NE.EXP.GNFS.ZS,ZMB,Zambia,Sub-Saharan Africa ,Low income,IDA
1033,2017,34.9928577636,NE.EXP.GNFS.ZS,ZMB,Zambia,Sub-Saharan Africa ,Low income,IDA
1034,2018,37.957404548,NE.EXP.GNFS.ZS,ZMB,Zambia,Sub-Saharan Africa ,Low income,IDA
1035,2019,34.6361926032,NE.EXP.GNFS.ZS,ZMB,Zambia,Sub-Saharan Africa ,Low income,IDA
1036,2020,46.7901653767,NE.EXP.GNFS.ZS,ZMB,Zambia,Sub-Saharan Africa ,Low income,IDA
1037,2021,54.5970754019,NE.EXP.GNFS.ZS,ZMB,Zambia,Sub-Saharan Africa ,Low income,IDA
1038,2016,19.9435315501,NE.EXP.GNFS.ZS,ZWE,Zimbabwe,Sub-Saharan Africa ,Lower middle income,Blend
1039,2017,19.658904799,NE.EXP.GNFS.ZS,ZWE,Zimbabwe,Sub-Saharan Africa ,Lower middle income,Blend
1040,2018,28.0497570808,NE.EXP.GNFS.ZS,ZWE,Zimbabwe,Sub-Saharan Africa ,Lower middle income,Blend
1041,2019,31.2510404125,NE.EXP.GNFS.ZS,ZWE,Zimbabwe,Sub-Saharan Africa ,Lower middle income,Blend
1042,2020,37.2022349173,NE.EXP.GNFS.ZS,ZWE,Zimbabwe,Sub-Saharan Africa ,Lower middle income,Blend
1043,2016,10.4668076938,NV.IND.TOTL.ZS,AFG,Afghanistan,South Asia,Low income,IDA
1044,2017,10.0518739969,NV.IND.TOTL.ZS,AFG,Afghanistan,South Asia,Low income,IDA
1045,2018,13.3872469598,NV.IND.TOTL.ZS,AFG,Afghanistan,South Asia,Low income,IDA
1046,2019,14.0581123698,NV.IND.TOTL.ZS,AFG,Afghanistan,South Asia,Low income,IDA
1047,2020,14.0316990961,NV.IND.TOTL.ZS,AFG,Afghanistan,South Asia,Low income,IDA
1048,2016,21.1419653523,NV.IND.TOTL.ZS,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
1049,2017,20.3583670021,NV.IND.TOTL.ZS,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
1050,2018,21.2793061291,NV.IND.TOTL.ZS,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
1051,2019,20.6196288249,NV.IND.TOTL.ZS,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
1052,2020,20.0086089713,NV.IND.TOTL.ZS,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
1053,2021,21.8185915621,NV.IND.TOTL.ZS,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
1054,2016,22.8661059737,NV.IND.TOTL.ZS,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
1055,2017,25.1133015501,NV.IND.TOTL.ZS,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
1056,2018,27.7521432784,NV.IND.TOTL.ZS,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
1057,2019,25.1376002156,NV.IND.TOTL.ZS,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
1058,2020,20.2822974575,NV.IND.TOTL.ZS,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
1059,2021,39.6766929378,NV.IND.TOTL.ZS,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
1060,2019,11.6998176283,NV.IND.TOTL.ZS,AND,Andorra,Europe & Central Asia,High income,Not classified
1061,2020,12.6601582717,NV.IND.TOTL.ZS,AND,Andorra,Europe & Central Asia,High income,Not classified
1062,2016,42.6435678702,NV.IND.TOTL.ZS,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
1063,2017,42.1679537699,NV.IND.TOTL.ZS,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
1064,2018,47.9315418514,NV.IND.TOTL.ZS,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
1065,2019,49.760920744,NV.IND.TOTL.ZS,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
1066,2020,45.7290222686,NV.IND.TOTL.ZS,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
1067,2021,43.3850971781,NV.IND.TOTL.ZS,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
1068,2016,17.9383723748,NV.IND.TOTL.ZS,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
1069,2017,19.22069665,NV.IND.TOTL.ZS,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
1070,2018,21.1069983049,NV.IND.TOTL.ZS,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
1071,2019,21.1630387548,NV.IND.TOTL.ZS,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
1072,2020,21.103260752,NV.IND.TOTL.ZS,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
1073,2021,21.8890041389,NV.IND.TOTL.ZS,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
1074,2016,22.0541072112,NV.IND.TOTL.ZS,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
1075,2017,21.7821232193,NV.IND.TOTL.ZS,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
1076,2018,23.7195923321,NV.IND.TOTL.ZS,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
1077,2019,24.0523882201,NV.IND.TOTL.ZS,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
1078,2020,23.3112183792,NV.IND.TOTL.ZS,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
1079,2021,24.862999683,NV.IND.TOTL.ZS,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
1080,2016,25.5771330396,NV.IND.TOTL.ZS,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
1081,2017,25.8095323792,NV.IND.TOTL.ZS,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
1082,2018,24.7565578476,NV.IND.TOTL.ZS,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
1083,2019,24.9716084573,NV.IND.TOTL.ZS,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
1084,2020,27.0552261162,NV.IND.TOTL.ZS,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
1085,2021,26.9306941583,NV.IND.TOTL.ZS,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
1086,2016,22.3275125713,NV.IND.TOTL.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
1087,2017,23.4671582219,NV.IND.TOTL.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
1088,2018,24.1399368186,NV.IND.TOTL.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
1089,2019,25.3279677407,NV.IND.TOTL.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
1090,2020,25.4620958712,NV.IND.TOTL.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
1091,2021,25.4955708971,NV.IND.TOTL.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
1092,2016,25.476804976,NV.IND.TOTL.ZS,AUT,Austria,Europe & Central Asia,High income,Not classified
1093,2017,25.4118677708,NV.IND.TOTL.ZS,AUT,Austria,Europe & Central Asia,High income,Not classified
1094,2018,25.3661221624,NV.IND.TOTL.ZS,AUT,Austria,Europe & Central Asia,High income,Not classified
1095,2019,25.0971690528,NV.IND.TOTL.ZS,AUT,Austria,Europe & Central Asia,High income,Not classified
1096,2020,25.4578528514,NV.IND.TOTL.ZS,AUT,Austria,Europe & Central Asia,High income,Not classified
1097,2021,25.7181618395,NV.IND.TOTL.ZS,AUT,Austria,Europe & Central Asia,High income,Not classified
1098,2016,47.5578070077,NV.IND.TOTL.ZS,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
1099,2017,49.7017251037,NV.IND.TOTL.ZS,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
1100,2018,52.2505368826,NV.IND.TOTL.ZS,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
1101,2019,48.8236328425,NV.IND.TOTL.ZS,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
1102,2020,41.9563201572,NV.IND.TOTL.ZS,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
1103,2021,48.4273248207,NV.IND.TOTL.ZS,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
1104,2016,12.0325148294,NV.IND.TOTL.ZS,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
1105,2017,13.127953648,NV.IND.TOTL.ZS,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
1106,2018,12.2164035184,NV.IND.TOTL.ZS,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
1107,2019,12.0778000121,NV.IND.TOTL.ZS,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
1108,2020,12.029486056,NV.IND.TOTL.ZS,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
1109,2021,11.2922220438,NV.IND.TOTL.ZS,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
1110,2016,39.3054656012,NV.IND.TOTL.ZS,BHR,Bahrain,Middle East & North Africa,High income,Not classified
1111,2017,41.1768057615,NV.IND.TOTL.ZS,BHR,Bahrain,Middle East & North Africa,High income,Not classified
1112,2018,42.8605583093,NV.IND.TOTL.ZS,BHR,Bahrain,Middle East & North Africa,High income,Not classified
1113,2019,42.0803295107,NV.IND.TOTL.ZS,BHR,Bahrain,Middle East & North Africa,High income,Not classified
1114,2020,40.2534802743,NV.IND.TOTL.ZS,BHR,Bahrain,Middle East & North Africa,High income,Not classified
1115,2021,44.8034024127,NV.IND.TOTL.ZS,BHR,Bahrain,Middle East & North Africa,High income,Not classified
1116,2016,31.069151383,NV.IND.TOTL.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
1117,2017,31.2482919642,NV.IND.TOTL.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
1118,2018,31.98281359,NV.IND.TOTL.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
1119,2019,32.8525491978,NV.IND.TOTL.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
1120,2020,32.9115608903,NV.IND.TOTL.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
1121,2021,33.3160943869,NV.IND.TOTL.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
1122,2016,12.9914515652,NV.IND.TOTL.ZS,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
1123,2017,12.7676023722,NV.IND.TOTL.ZS,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
1124,2018,12.3351490871,NV.IND.TOTL.ZS,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
1125,2019,12.0046718718,NV.IND.TOTL.ZS,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
1126,2020,12.7580911278,NV.IND.TOTL.ZS,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
1127,2016,30.9584092513,NV.IND.TOTL.ZS,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
1128,2017,31.5544850882,NV.IND.TOTL.ZS,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
1129,2018,31.2656097096,NV.IND.TOTL.ZS,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
1130,2019,31.7371287169,NV.IND.TOTL.ZS,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
1131,2020,30.8286746682,NV.IND.TOTL.ZS,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
1132,2021,32.1536444647,NV.IND.TOTL.ZS,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
1133,2016,19.288220267,NV.IND.TOTL.ZS,BEL,Belgium,Europe & Central Asia,High income,Not classified
1134,2017,19.2353624906,NV.IND.TOTL.ZS,BEL,Belgium,Europe & Central Asia,High income,Not classified
1135,2018,18.929965483,NV.IND.TOTL.ZS,BEL,Belgium,Europe & Central Asia,High income,Not classified
1136,2019,19.1789501021,NV.IND.TOTL.ZS,BEL,Belgium,Europe & Central Asia,High income,Not classified
1137,2020,19.4793002015,NV.IND.TOTL.ZS,BEL,Belgium,Europe & Central Asia,High income,Not classified
1138,2021,20.8512636777,NV.IND.TOTL.ZS,BEL,Belgium,Europe & Central Asia,High income,Not classified
1139,2016,14.1018277794,NV.IND.TOTL.ZS,BLZ,Belize,Latin America & Caribbean ,Upper middle income,IBRD
1140,2017,13.3174405396,NV.IND.TOTL.ZS,BLZ,Belize,Latin America & Caribbean ,Upper middle income,IBRD
1141,2018,11.7758327081,NV.IND.TOTL.ZS,BLZ,Belize,Latin America & Caribbean ,Upper middle income,IBRD
1142,2019,12.767145149000001,NV.IND.TOTL.ZS,BLZ,Belize,Latin America & Caribbean ,Upper middle income,IBRD
1143,2020,14.1716352926,NV.IND.TOTL.ZS,BLZ,Belize,Latin America & Caribbean ,Upper middle income,IBRD
1144,2021,13.0386211974,NV.IND.TOTL.ZS,BLZ,Belize,Latin America & Caribbean ,Upper middle income,IBRD
1145,2016,15.7020683118,NV.IND.TOTL.ZS,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
1146,2017,15.1075858508,NV.IND.TOTL.ZS,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
1147,2018,14.6419567509,NV.IND.TOTL.ZS,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
1148,2019,16.3125612016,NV.IND.TOTL.ZS,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
1149,2020,16.2905490529,NV.IND.TOTL.ZS,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
1150,2016,5.3497936423,NV.IND.TOTL.ZS,BMU,Bermuda,North America,High income,Not classified
1151,2017,5.509305385,NV.IND.TOTL.ZS,BMU,Bermuda,North America,High income,Not classified
1152,2018,5.7012359713,NV.IND.TOTL.ZS,BMU,Bermuda,North America,High income,Not classified
1153,2019,6.4373308152,NV.IND.TOTL.ZS,BMU,Bermuda,North America,High income,Not classified
1154,2020,5.6398730423,NV.IND.TOTL.ZS,BMU,Bermuda,North America,High income,Not classified
1155,2016,42.5511112716,NV.IND.TOTL.ZS,BTN,Bhutan,South Asia,Lower middle income,IDA
1156,2017,41.8429636345,NV.IND.TOTL.ZS,BTN,Bhutan,South Asia,Lower middle income,IDA
1157,2018,38.2034608946,NV.IND.TOTL.ZS,BTN,Bhutan,South Asia,Lower middle income,IDA
1158,2019,36.0589301297,NV.IND.TOTL.ZS,BTN,Bhutan,South Asia,Lower middle income,IDA
1159,2020,34.4126541301,NV.IND.TOTL.ZS,BTN,Bhutan,South Asia,Lower middle income,IDA
1160,2016,25.3263589798,NV.IND.TOTL.ZS,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
1161,2017,26.3699744281,NV.IND.TOTL.ZS,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
1162,2018,26.2465894715,NV.IND.TOTL.ZS,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
1163,2019,25.2102745512,NV.IND.TOTL.ZS,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
1164,2020,23.4919320116,NV.IND.TOTL.ZS,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
1165,2021,26.360932406,NV.IND.TOTL.ZS,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
1166,2016,23.246149816,NV.IND.TOTL.ZS,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
1167,2017,24.0022868431,NV.IND.TOTL.ZS,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
1168,2018,24.5234422733,NV.IND.TOTL.ZS,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
1169,2019,23.9642537563,NV.IND.TOTL.ZS,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
1170,2020,24.554310516,NV.IND.TOTL.ZS,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
1171,2021,24.6245585293,NV.IND.TOTL.ZS,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
1172,2016,40.3451686006,NV.IND.TOTL.ZS,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
1173,2017,37.139604802,NV.IND.TOTL.ZS,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
1174,2018,35.0423966804,NV.IND.TOTL.ZS,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
1175,2019,31.825145047,NV.IND.TOTL.ZS,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
1176,2020,27.7693945168,NV.IND.TOTL.ZS,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
1177,2016,18.3547582819,NV.IND.TOTL.ZS,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
1178,2017,18.1885023127,NV.IND.TOTL.ZS,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
1179,2018,18.749051454700002,NV.IND.TOTL.ZS,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
1180,2019,18.7546275757,NV.IND.TOTL.ZS,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
1181,2020,17.7016526357,NV.IND.TOTL.ZS,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
1182,2021,18.8581281526,NV.IND.TOTL.ZS,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
1183,2016,57.2883572517,NV.IND.TOTL.ZS,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
1184,2017,59.7205108761,NV.IND.TOTL.ZS,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
1185,2018,63.243645156,NV.IND.TOTL.ZS,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
1186,2019,62.5153210994,NV.IND.TOTL.ZS,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
1187,2020,59.1336301293,NV.IND.TOTL.ZS,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
1188,2021,62.7015640832,NV.IND.TOTL.ZS,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
1189,2016,24.4492472525,NV.IND.TOTL.ZS,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
1190,2017,23.975828611,NV.IND.TOTL.ZS,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
1191,2018,22.4047199147,NV.IND.TOTL.ZS,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
1192,2019,21.685230857,NV.IND.TOTL.ZS,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
1193,2020,21.9233469723,NV.IND.TOTL.ZS,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
1194,2021,23.0368399368,NV.IND.TOTL.ZS,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
1195,2016,24.8815173666,NV.IND.TOTL.ZS,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
1196,2017,25.14023722,NV.IND.TOTL.ZS,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
1197,2018,25.5894433781,NV.IND.TOTL.ZS,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
1198,2019,27.1474944991,NV.IND.TOTL.ZS,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
1199,2020,32.5913247969,NV.IND.TOTL.ZS,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
1200,2016,12.2073630909,NV.IND.TOTL.ZS,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
1201,2017,10.9931308053,NV.IND.TOTL.ZS,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
1202,2018,11.1072170299,NV.IND.TOTL.ZS,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
1203,2019,10.935976223,NV.IND.TOTL.ZS,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
1204,2020,10.7429517772,NV.IND.TOTL.ZS,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
1205,2021,10.5993929821,NV.IND.TOTL.ZS,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
1206,2016,17.1303991381,NV.IND.TOTL.ZS,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
1207,2017,18.1919628959,NV.IND.TOTL.ZS,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
1208,2018,19.279245485,NV.IND.TOTL.ZS,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
1209,2019,19.6057641487,NV.IND.TOTL.ZS,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
1210,2020,23.0872476527,NV.IND.TOTL.ZS,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
1211,2021,25.1354525389,NV.IND.TOTL.ZS,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
1212,2016,29.4519627452,NV.IND.TOTL.ZS,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
1213,2017,30.8489276136,NV.IND.TOTL.ZS,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
1214,2018,32.2893931182,NV.IND.TOTL.ZS,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
1215,2019,34.2260507178,NV.IND.TOTL.ZS,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
1216,2020,34.5600606697,NV.IND.TOTL.ZS,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
1217,2021,36.8347844223,NV.IND.TOTL.ZS,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
1218,2016,24.1821445706,NV.IND.TOTL.ZS,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
1219,2017,24.2621952863,NV.IND.TOTL.ZS,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
1220,2018,24.6822312096,NV.IND.TOTL.ZS,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
1221,2019,23.8268780539,NV.IND.TOTL.ZS,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
1222,2020,23.3492857803,NV.IND.TOTL.ZS,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
1223,2021,24.0462883976,NV.IND.TOTL.ZS,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
1224,2016,23.2953005456,NV.IND.TOTL.ZS,CAN,Canada,North America,High income,Not classified
1225,2017,24.0278028871,NV.IND.TOTL.ZS,CAN,Canada,North America,High income,Not classified
1226,2018,24.6223059554,NV.IND.TOTL.ZS,CAN,Canada,North America,High income,Not classified
1227,2016,7.2839131898,NV.IND.TOTL.ZS,CYM,Cayman Islands,Latin America & Caribbean ,High income,Not classified
1228,2017,7.1938192326,NV.IND.TOTL.ZS,CYM,Cayman Islands,Latin America & Caribbean ,High income,Not classified
1229,2018,7.4143905736,NV.IND.TOTL.ZS,CYM,Cayman Islands,Latin America & Caribbean ,High income,Not classified
1230,2019,7.6992158291,NV.IND.TOTL.ZS,CYM,Cayman Islands,Latin America & Caribbean ,High income,Not classified
1231,2020,7.9573760492000005,NV.IND.TOTL.ZS,CYM,Cayman Islands,Latin America & Caribbean ,High income,Not classified
1232,2016,21.6382374371,NV.IND.TOTL.ZS,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
1233,2017,20.7372245547,NV.IND.TOTL.ZS,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
1234,2018,20.555755957,NV.IND.TOTL.ZS,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
